                            SUZUKI MOTOR GUJARAT PRIVATE LIMITED
--------------------------------------------------------------------------------------------
                            DATE:2/5/2024 9:57 AM
--------------------------------------------------------------------------------------------
VCODE    SLY DATE     TIME    ICODE            QTY  UN LOC   US LOC    KANBAN NO
C336     06-FEB-2024  18:45  56210M73R00       100    CA-06   AC1     06P406632580AC1
C336     06-FEB-2024  21:45  56210M73R00       100    CA-06   AC1     06P406632599AC1
C336     06-FEB-2024  07:29  56220M55T00       100    CA-06   AC3     06P406669042AC3
C336     06-FEB-2024  07:30  56220M55T00       100    BA-04   AB4     06P406531547AB4
C336     06-FEB-2024  09:45  56220M55T00       100    CA-06   AC3     06P406669050AC3
C336     06-FEB-2024  12:45  56220M55T00       100    CA-06   AC3     06P406669069AC3
C336     06-FEB-2024  13:44  56220M55T00       900    AA-04   AA3     06P406614116AA3
C336     06-FEB-2024  15:45  56220M55T00       100    CA-06   AC3     06P406669077AC3
C336     06-FEB-2024  18:45  56220M55T00       100    CA-06   AC3     06P406669085AC3
C336     06-FEB-2024  06:30  56220M73R00       100    BA-04   AB2     06P406542581AB2
C336     06-FEB-2024  07:29  56220M73R00       100    CA-06   AC1     06P406632602AC1
C336     06-FEB-2024  07:30  56220M73R00       200    BA-04   AB1     06P406663850AB1
C336     06-FEB-2024  09:45  56220M73R00       100    CA-06   AC1     06P406632610AC1
C336     06-FEB-2024  11:45  56220M73R00       200    BA-04   AB1     06P406663869AB1
C336     06-FEB-2024  12:45  56220M73R00       100    CA-06   AC1     06P406632629AC1
C336     06-FEB-2024  17:45  56220M73R00       300    BA-04   AB1     06P406663877AB1
C336     06-FEB-2024  18:45  56220M73R00       100    CA-06   AC1     06P406632637AC1
C336     06-FEB-2024  21:45  56220M73R00       100    CA-06   AC1     06P406632645AC1
C336     06-FEB-2024  07:29  56310M55T00       250    CA-21   AC3     06P406669093AC3
C336     06-FEB-2024  07:30  56310M55T00       250    BA-20   AB4     06P406531555AB4
C336     06-FEB-2024  09:45  56310M55T00       250    CA-21   AC3     06P406669107AC3
C336     06-FEB-2024  12:45  56310M55T00       250    CA-21   AC3     06P406669115AC3
C336     06-FEB-2024  13:44  56310M55T00       1750   AA-21   AA3     06P406614124AA3
C336     06-FEB-2024  18:45  56310M55T00       250    CA-21   AC3     06P406669123AC3
C336     06-FEB-2024  21:45  56310M55T00       250    CA-21   AC3     06P406669131AC3
C336     06-FEB-2024  06:30  56310M68P01       250    BA-20   AB2     06P406542590AB2
C336     06-FEB-2024  07:29  56310M68P01       250    BA-20   AB1     06P406663885AB1
C336     06-FEB-2024  09:45  56310M68P01       250    CA-21   AC1     06P406632653AC1
C336     06-FEB-2024  11:45  56310M68P01       500    BA-20   AB1     06P406663893AB1
C336     06-FEB-2024  15:45  56310M68P01       250    CA-21   AC1     06P406632661AC1
C336     06-FEB-2024  17:45  56310M68P01       500    BA-20   AB1     06P406663907AB1
C336     06-FEB-2024  21:45  56310M68P01       250    CA-21   AC1     06P406632670AC1
C336     06-FEB-2024  07:29  56315M55T00       150    CA-24   AC3     06P406669140AC3
C336     06-FEB-2024  07:30  56315M55T00       150    BA-01   AB4     06P406531563AB4
C336     06-FEB-2024  09:45  56315M55T00       300    CA-24   AC3     06P406669158AC3
C336     06-FEB-2024  12:45  56315M55T00       150    CA-24   AC3     06P406669166AC3
C336     06-FEB-2024  13:44  56315M55T00       1950   AA-01   AA3     06P406614132AA3
C336     06-FEB-2024  15:45  56315M55T00       150    CA-24   AC3     06P406669174AC3
C336     06-FEB-2024  18:45  56315M55T00       150    CA-24   AC3     06P406669182AC3
C336     06-FEB-2024  21:45  56315M55T00       150    CA-24   AC3     06P406669190AC3
C336     06-FEB-2024  06:30  56315M68P00       100    BA-01   AB2     06P406542603AB2
C336     06-FEB-2024  07:29  56315M68P00       100    CA-24   AC1     06P406632688AC1
C336     06-FEB-2024  07:29  56315M68P00       300    BA-01   AB1     06P406663915AB1
C336     06-FEB-2024  09:45  56315M68P00       200    CA-24   AC1     06P406632696AC1
C336     06-FEB-2024  11:45  56315M68P00       500    BA-01   AB1     06P406663923AB1
C336     06-FEB-2024  12:45  56315M68P00       100    CA-24   AC1     06P406632700AC1
C336     06-FEB-2024  14:45  56315M68P00       100    BA-01   AB2     06P406542611AB2
C336     06-FEB-2024  15:45  56315M68P00       200    CA-24   AC1     06P406632718AC1
C336     06-FEB-2024  17:45  56315M68P00       600    BA-01   AB1     06P406663931AB1
C336     06-FEB-2024  18:45  56315M68P00       100    CA-24   AC1     06P406632726AC1
C336     06-FEB-2024  19:45  56315M68P00       100    BA-01   AB2     06P406542620AB2
C336     06-FEB-2024  21:45  56315M68P00       100    CA-24   AC1     06P406632734AC1
