0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:58 +0530] "GET /tbis/api/report/metadata?id=55 HTTP/1.1" 200 4746
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:58 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:58 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=lgtransporter HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:58 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:58 +0530] "GET /tbis/api/report/data?id=55&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=asnno&sord=asc&sord=desc&_search=false&status=2 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:00 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:00 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:00 +0530] "GET /tbis/api/report/metadata?id=85 HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:00 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:00 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:00 +0530] "GET /tbis/api/report/metadata?id=85 HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:00 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 9159
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:00 +0530] "GET /tbis/api/report/data?id=85&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 4475
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:00 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 9159
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:00 +0530] "GET /tbis/api/report/data?id=85&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 4475
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:01 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=allvehicle HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:01 +0530] "GET /tbis/api/report/metadata?id=83 HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:01 +0530] "GET /tbis/api/report/data?id=83&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=a.supplytime&sord=asc&sord=desc&_search=false&picklistid=1 HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:18 +0530] "GET /tbis/api/report/metadata?id=87 HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:18 +0530] "GET /tbis/api/report/data?id=87&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=supplydate&sord=desc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:20 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:20 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:20 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 9159
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:20 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 9159
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:25 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=plants HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:25 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=employee HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:25 +0530] "GET /tbis/api/report/metadata?id=63 HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:25 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=docks HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:25 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:25 +0530] "GET /tbis/api/report/data?id=63&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 3995
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:26 +0530] "GET /tbis/api/picklist?code=1 HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:26 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=picklistcustparts&customerid=51 HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:30 +0530] "GET /tbis/api/report/metadata?id=63 HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:45:30 +0530] "GET /tbis/api/report/data?id=63&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 3995
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:47:13 +0530] "GET /tbis/api/report/metadata?id=63 HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:47:13 +0530] "GET /tbis/api/report/data?id=63&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:47:16 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:47:16 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:47:16 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:47:16 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
