0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:13 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=cardmaster HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:13 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=billingcycle HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:13 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=employee HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:13 +0530] "GET /tbis/api/report/metadata?id=32 HTTP/1.1" 200 4170
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:13 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=lineusage HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:13 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=documenttype HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:13 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=unloaddoc HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:13 +0530] "GET /tbis/api/report/data?id=32&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=customername&sord=asc&sord=desc&_search=false HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:44 +0530] "GET /tbis/api/customer/master?code=51 HTTP/1.1" 200 13516
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:45 +0530] "GET /tbis/api/report/metadata?id=72 HTTP/1.1" 200 2284
